yearlab,GDPC1,GDPPOT,UNRATE,FEDFUNDS,CPITOT,AVG2_SCORE,AVG2_TOT,GPDIC1,PCE,EPU
1981.25,6.9,6.7,7.4,17.8,37.9,25.17152689,34.48370484,0.9,1.9,121.6207
1981.5,7,6.7,7.4,17.6,38.9,25.46769564,23.62011331,1,2,124.7611
1981.75,6.9,6.8,8.2,13.6,39.6,24.86397333,16.01833825,0.9,2,131.0139667
1982,6.8,6.8,8.8,14.2,39.9,25.18445324,21.42774714,0.8,2,120.1735333
1982.25,6.8,6.9,9.4,14.5,40.5,23.78491693,25.74313469,0.8,2,154.8239667
1982.5,6.8,7,9.9,11,41.2,24.79284822,22.30500361,0.8,2.1,160.0865
1982.75,6.8,7,10.7,9.3,41.3,24.54791024,15.38715099,0.8,2.1,153.2346
1983,6.9,7.1,10.4,8.7,41.3,24.32484158,23.47620826,0.8,2.2,145.4388333
1983.25,7,7.1,10.1,8.8,41.8,24.86029974,24.39201092,0.9,2.2,152.8880333
1983.5,7.2,7.2,9.4,9.5,42.2,25.51822136,22.58275827,0.9,2.3,137.9360333
1983.75,7.3,7.3,8.5,9.4,42.7,24.96867608,10.29164787,1,2.4,127.3097667
1984,7.5,7.3,7.9,9.7,43.3,25.09187451,22.74398661,1.1,2.4,125.1348667
1984.25,7.6,7.4,7.4,10.6,43.7,25.41707863,24.72240458,1.1,2.5,154.2893667
1984.5,7.7,7.4,7.4,11.4,44,24.28742474,17.9882798,1.2,2.5,126.7937667
1984.75,7.7,7.5,7.3,9.3,44.4,25.28021185,13.71173016,1.2,2.6,130.6168667
1985,7.8,7.6,7.2,8.5,44.8,24.59032987,21.46231104,1.1,2.6,147.5219
1985.25,7.9,7.7,7.3,7.9,45.2,24.81896956,16.67242512,1.1,2.7,130.3233667
1985.5,8,7.7,7.2,7.9,45.5,25.42876838,18.05669101,1.1,2.8,134.5169667
1985.75,8.1,7.8,7,8.1,46,24.29813085,12.1100579,1.2,2.8,156.3646667
1986,8.1,7.9,7,7.8,46.2,24.63253444,15.81392419,1.2,2.8,145.2290333
1986.25,8.2,7.9,7.2,6.9,46,25.07673433,16.62168091,1.2,2.9,175.0857
1986.5,8.3,8,7,6.2,46.3,24.2089462,18.47000011,1.1,2.9,154.689
1986.75,8.3,8.1,6.8,6.3,46.6,24.21640306,14.53899988,1.1,3,162.9945
1987,8.4,8.2,6.6,6.2,47.2,25.14434783,14.70471822,1.2,3,129.4321
1987.25,8.5,8.2,6.3,6.7,47.7,25.45189819,19.99408002,1.2,3.1,137.6672667
1987.5,8.5,8.3,6,6.8,48.2,25.2831407,16.47858473,1.2,3.1,133.1784
1987.75,8.7,8.4,5.8,6.9,48.7,24.61289532,13.89312394,1.2,3.2,102.53412
1988,8.7,8.4,5.7,6.7,49,24.58995355,20.40471603,1.2,3.2,220.2777667
1988.25,8.8,8.5,5.5,7.2,49.6,24.43905308,19.55648092,1.2,3.3,148.312
1988.5,8.9,8.6,5.5,8,50.2,25.03251581,14.93141567,1.2,3.4,134.0804667
1988.75,9,8.6,5.3,8.5,50.8,25.2995123,12.45521335,1.2,3.4,125.7593
1989,9.1,8.7,5.2,9.4,51.3,24.20885302,18.20160808,1.3,3.5,130.7059333
1989.25,9.2,8.8,5.2,9.7,52.2,25.11442201,16.33142369,1.3,3.6,106.1311533
1989.5,9.2,8.8,5.2,9.1,52.6,24.88021144,17.12067183,1.2,3.6,128.5913333
1989.75,9.3,8.9,5.4,8.6,53.1,25.78950848,15.56043048,1.2,3.7,121.1927333
1990,9.4,9,5.3,8.3,54,24.4368237,23.20171278,1.3,3.7,131.3442667
1990.25,9.4,9,5.3,8.2,54.6,24.65311288,21.8295744,1.3,3.8,141.6941333
1990.5,9.4,9.1,5.7,8.2,55.5,25.03175146,15.07388948,1.2,3.8,126.4778333
1990.75,9.3,9.2,6.1,7.7,56.4,24.1545514,16.95742809,1.2,3.9,165.3423
1991,9.3,9.2,6.6,6.4,56.9,23.85034191,13.99094256,1.1,3.9,178.8728
1991.25,9.3,9.3,6.8,5.9,57.2,23.76127716,16.30126335,1.1,3.9,177.5912333
1991.5,9.4,9.4,6.9,5.6,57.6,25.03153024,13.85310981,1.1,4,120.2979667
1991.75,9.4,9.4,7.1,4.8,58.1,24.84352266,12.32940771,1.2,4,134.7912333
1992,9.5,9.5,7.4,4,58.5,24.1165626,13.21217378,1.2,4.1,184.9755
1992.25,9.6,9.5,7.6,3.8,59,25.18266113,16.90028875,1.2,4.2,152.2211
1992.5,9.7,9.6,7.6,3.3,59.4,24.52478856,21.35333251,1.2,4.2,130.4404333
1992.75,9.8,9.6,7.4,3,59.9,24.46671182,15.61105557,1.3,4.3,164.7383
1993,9.9,9.7,7.1,3,60.4,25.02566381,16.73528888,1.3,4.3,158.8285
1993.25,9.9,9.8,7.1,3,60.8,24.5203336,19.81537275,1.3,4.4,136.6389333
1993.5,10,9.8,6.8,3.1,61.1,24.51707117,23.27789895,1.3,4.5,153.2525667
1993.75,10.1,9.9,6.6,3,61.6,24.29926681,13.99582036,1.4,4.6,152.657
1994,10.2,9.9,6.6,3.2,61.9,24.04426832,18.63157576,1.4,4.6,117.5344333
1994.25,10.3,10,6.2,3.9,62.2,24.22380728,19.67519294,1.5,4.7,123.3757333
1994.5,10.4,10.1,6,4.5,62.8,24.23169313,19.29491606,1.5,4.8,134.0989
1994.75,10.5,10.1,5.6,5.2,63.2,24.68682073,14.39744863,1.5,4.8,111.0161333
1995,10.5,10.2,5.5,5.8,63.7,24.77724452,17.64900075,1.5,4.9,119.7067267
1995.25,10.6,10.3,5.7,6,64.2,22.04521346,25.07030113,1.5,4.9,141.2267667
1995.5,10.7,10.3,5.7,5.8,64.5,24.12243189,18.11022561,1.5,5,106.6953333
1995.75,10.7,10.4,5.6,5.7,64.8,23.52042765,14.09652221,1.5,5.1,104.8115767
1996,10.8,10.5,5.5,5.4,65.4,23.85096804,16.74412086,1.6,5.1,133.2674
1996.25,11,10.6,5.5,5.2,66,23.69943287,14.66831277,1.6,5.2,124.2472667
